NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fahrgastza,fahrgast_1,fahrgast_2,fahrgast_3,fahrgast_4,fahrgast_5,fahrgast_6,fahrgast_7,fahrgast_8,fahrgast_9,lng,lat
"8590669","2695",,,"Itschnach, Tägermoos",Itschnach,Bus,"&nbsp;","0",,"140","2",Bus,"912,919,N18","2687338","1242309","13","16",184.034794520547990,164.305808219178004,219.000000000000000,193.199999999999989,"2695",TAEG,348.340602739726023,412.199999999999989,8.594015380455835,47.325865372474837
"8576222","54",,,"Küsnacht ZH, Allmend",Küsnacht ZH,Bus,"&nbsp;","0",,"140","2",Bus,"916","2687599","1241193","674","693",136.585041095890006,136.915232876711997,161.460000000000008,162.620000000000005,"54",KALL,273.500273972601974,324.079999999999984,8.597249660278020,47.315794102327807
"8590566","1228",,,"Dübendorf, Hoffnung",Dübendorf,Bus,"&nbsp;","0",,"121","2",Bus,"743,744,745,751,752,754","2687671","1250113","423","435",51.913786410958899,119.449323342466002,68.742040000000003,154.518020000000007,"1228",HOFF,171.363109753424993,223.260060000000010,8.599947781751595,47.396004963085687
"8591029","3747",,,"Zollikerberg, Trichtenhauserm.",Zollikerberg,Bus,"&nbsp;","0",,"140","2",Bus,"91","2687897","1245070","651","670",16.429095890410998,10.862684931506900,18.199999999999999,12.400000000000000,"3747",TRIC,27.291780821917900,30.600000000000001,8.601950737178612,47.350621787405075
"8590563","1054",,,"Dübendorf, Grüzenstrasse",Dübendorf,Bus,"&nbsp;","0",,"121","2",Bus,"754,N17","2688978","1249608","741","763",0.000000000000000,0.330520547945205,0.000000000000000,0.000000000000000,"1054",GRUZ,0.330520547945205,0.000000000000000,8.617157744310264,47.391288133255529
"8576225","2826",,,"Zumikon, Waltikon",Zumikon,Bus,"&nbsp;","0",,"140","2",Bus,"919","2689148","1243475","691","710",101.382410958904003,117.538849315068006,133.139999999999986,156.680000000000007,"2826",WALT,218.921260273971996,289.819999999999993,8.618188051430701,47.336109442609576
"8590558","863",,,"Dübendorf, Flugplatz",Dübendorf,Bus,"&nbsp;","0",,"121","2",Bus,"759,N17","2689747","1250870","735","757",0.028493150684931,0.289205479452055,0.000000000000000,0.000000000000000,"863",FLUP,0.317698630136987,0.000000000000000,8.627595024295912,47.402533174043221
"8594249","6778",,,"Benglen, Langwis",Benglen,Bus,"&nbsp;","0",,"121","2",Bus,"704,705,744,N19","2690005","1246363","500","513",18.601758904109602,20.101665753424701,21.782000000000000,22.568000000000001,"6778",BLAN,38.703424657534299,44.350000000000001,8.630105909038171,47.361965631315179
"8590712","3134",,,"Maur, Aschbach",Maur,Bus,"&nbsp;","0",,"130","2",Bus,"743","2692342","1245280","443","455",8.231827424657530,7.773546273972600,7.799510000000000,7.071890000000000,"3134",MASC,16.005373698630098,14.871400000000000,8.660814730509285,47.351902677626335
"8590273","6301",,,"Spreitenbach, Furttalstrasse",Spreitenbach,Bus,"&nbsp;","0",,,"2",Bus,"303","2669870","1253152","635","654",45.151753424657500,52.576328767123300,58.409999999999997,69.879999999999995,"6301",FURT,97.728082191780800,128.289999999999992,8.364648659495995,47.425465057654961
"8591891","6663",,,"Spreitenbach, Altersheim",Spreitenbach,Bus,"&nbsp;","0",,"184","2",Bus,"303","2670176","1252419","631","650",97.216794520547893,107.524164383561995,114.989999999999995,131.280000000000001,"6663",SPAL,204.740958904109988,246.270000000000010,8.368588754890967,47.418840284569299
"8590518","6695",,,"Dietikon, Lätten",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"325","2671425","1250585","594","612",37.019616438356202,40.524958904109603,39.780000000000001,50.609999999999999,"6695",DLAE,77.544575342465805,90.390000000000001,8.384845765459662,47.402211908292571
"8590528","6262",,,"Dietikon, Silbern",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"309","2672015","1252370","537","554",115.004122191780993,95.437842739725994,133.134600000000006,107.482600000000005,"6262",DSIL,210.441964931506988,240.617199999999997,8.392948709203646,47.418201051150952
"8590513","725",,,"Dietikon, Dörfli",Dietikon,Bus,"&nbsp;","0",,"154","2",Bus,"303","2673071","1250405","628","647",118.029095890411000,116.441671232876999,146.960000000000008,148.969999999999999,"725",DOER,234.470767123287999,295.930000000000007,8.406619979230975,47.400412535086780
"8590843","1731",,,"Urdorf, Niederurdorf",Urdorf,Bus,"&nbsp;","0",,"154","2",Bus,"302,308,314,N30","2673987","1249296","187","195",208.995217534246990,229.532523287671012,254.874400000000009,280.161000000000001,"1731",NURD,438.527740821917973,535.035399999999981,8.418569841111387,47.390336493729414
"8590845","2024",,,"Urdorf, Rainweg",Urdorf,Bus,"&nbsp;","0",,"154","2",Bus,"311,N30","2674499","1249199","586","604",38.786246575342503,46.942136986301399,20.980000000000000,36.659999999999997,"2024",RAIW,85.728383561643895,57.640000000000001,8.425334328259540,47.389406425003536
"8590834","2767",,,"Urdorf Weihermatt, Bahnhof",Urdorf,Bus,"&nbsp;","0",,"154","2",Bus,"308,311","2674862","1248168","191","199",264.630136986301011,371.235287671232982,305.699999999999989,454.319999999999993,"2767",BWEI,635.865424657534049,760.019999999999982,8.429969125038365,47.380092967270222
"8590792","1151",,,"Schlieren, Heimeliweg",Schlieren,Bus,"&nbsp;","0",,"154","2",Bus,"308,N30","2675409","1249784","183","191",74.348219178082203,118.188328767122997,85.942470119521900,141.543585657371011,"1151",HEIM,192.536547945205001,227.486055776893011,8.437484232147108,47.394564078781698
"8590910","3183",,,"Weiningen ZH, Aegelsee",Weiningen ZH,Bus,"&nbsp;","0",,"154","2",Bus,"302,304","2675913","1252123","205","213",87.738657534246599,55.756191780821901,97.451115537848594,67.992071713147396,"3183",AEGW,143.494849315068990,165.443187250996004,8.444556542581120,47.415541830600603
"8591061","2547",,,"Zürich, Bahnhof Leimbach",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"70,N12","2681626","1243049","601","620",1139.953972602739896,977.302602739726012,1298.640000000000100,1115.650000000000091,"2547",BLEI,2117.256575342470114,2414.289999999999964,8.518596253725050,47.333252268507763
"8591041","3706",,,"Zürich, Althoos",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"40","2681920","1251665","299","310",93.837671232876701,137.326520547944995,114.030000000000001,165.159999999999997,"3706",AHOS,231.164191780821994,279.189999999999998,8.524062283399504,47.410702971158393
"8591427","6238",,,"Zürich, Werd",Zürich,Tram,"&nbsp;","2",,"110","5",Tram,"9,14","2682185","1247430","135","142",1329.637945205480037,1441.271452054789961,1602.820756972110075,1712.977450199199893,"6238",WERE,2770.909397260269998,3315.798207171309969,8.526795003096630,47.372583143956426
"8590766","1763",,,"Rümlang, Oberdorf",Rümlang,Bus,"&nbsp;","0",,"121","2",Bus,"742,795,N6","2682322","1256258","747","769",0.086904109589041,0.129643835616438,0.000000000000000,0.000000000000000,"1763",ORUE07,0.216547945205479,0.000000000000000,8.530234607202411,47.451958723584397
"8591388","2612",,,"Zürich, Sunnau",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"184,185,N12","2682468","1242375","255","266",156.933671232877003,165.066739726027009,172.270000000000010,184.000000000000000,"2612",SUNN,322.000410958904013,356.269999999999982,8.529611117905690,47.327085886088369
"8591059","199",,,"Zürich, Bahnhof Enge/Bederstr.",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"5,13,17,200,210,444,445,N12","2682474","1246541","251","262",4614.687150684930202,4602.876986301370380,5787.335896414339913,5766.639760956179998,"199",BEDE,9217.564136986300582,11553.975657370499903,8.530457248577427,47.364551903216743
