field_1,Haltestellen_Id,ein_dtv,aus_dtv,ein_dwv,aus_dwv,HALTESTELLEN_Haltestellennummer,HALTESTELLEN_Haltestellenkurzname,HALTESTELLEN_Haltestellenlangname,sum_dtv,sum_dwv
"78","83",683.899835616438,633.13704109589,789.584940239044,719.822231075697,"6015",WINS,"Zürich, Winzerstrasse Süd",1317.03687671233,1509.40717131474
"79","84",842.966465753425,801.253287671233,972.537290836653,911.620517928287,"2831",WART,"Zürich, Wartau",1644.21975342466,1884.15780876494
"80","85",1141.03375342466,1071.00753424658,1301.5409561753,1208.55725099602,"3015",ZWIE,"Zürich, Zwielplatz",2212.04128767124,2510.09820717132
"81","86",4205.05816438356,4299.97219178082,4881.69932270916,5014.45541832669,"1626",MEIE,"Zürich, Meierhofplatz",8505.03035616438,9896.15474103585
"82","87",740.995315068493,1082.0278630137,846.742828685259,1208.89278884462,"1280",HOEB,"Zürich, Hönggerberg",1823.02317808219,2055.63561752988
"83","88",3995.65876712329,4314.45676712329,5075.45390438247,5492.08860557769,"735",ETHH,"Zürich, ETH Hönggerberg",8310.11553424658,10567.5425099602
"84","89",599.26,740.20005479452,684.857928286853,839.027729083665,"1539",LERC,"Zürich, Lerchenhalde",1339.46005479452,1523.88565737052
"85","90",534.569835616438,665.620438356164,598.975019920319,748.855059760956,"2289",SWEG,"Zürich, Schumacherweg",1200.1902739726,1347.83007968128
"86","91",63.4735068493151,323.981945205479,71.3798804780876,384.19015936255,"6020",GLAS,"Zürich, Glaubtenstrasse Süd",387.455452054794,455.570039840638
"87","92",465.557260273973,513.878191780822,525.66390438247,577.426533864542,"3451",MOTT,"Zürich, Mötteliweg",979.435452054795,1103.09043824701
"88","93",750.811397260274,848.65904109589,888.656414342629,1014.19278884462,"3450",CHAL,"Zürich, Chaletweg",1599.47043835616,1902.84920318725
"89","94",321.114438356164,431.61095890411,405.572788844622,580.335219123506,"3449",BIRC,"Zürich, Birchstrasse",752.725397260274,985.908007968128
"90","95",2040.38093150685,2035.35005479452,2357.31139442231,2359.39645418327,"3764",MAXB,"Zürich, Max-Bill-Platz",4075.73098630137,4716.70784860558
"91","96",3781.25484931507,3248.85901369863,4389.46812749004,3762.64334661355,"6255",BOEN,"Zürich, Bahnhof Oerlikon Nord",7030.1138630137,8152.11147410359
"92","97",1134.47035616438,792.629561643836,1366.25737051793,934.196693227092,"6975",GLNO,"Zürich, Glaubtenstrasse Nord",1927.09991780822,2300.45406374502
"93","98",614.693808219178,725.644767123288,692.106693227092,823.246852589641,"2935",WINZ,"Zürich, Winzerstrasse",1340.33857534247,1515.35354581673
"94","100",2006.52789041096,1848.59476712329,2647.0228685259,2447.25390438247,"1552",LEUT,"Zürich, Leutschenbach",3855.12265753425,5094.27677290837
"95","101",1093.95890410959,1053.4261369863,1395.07131474104,1353.53657370518,"6459",ZOER,"Zürich, Oerlikerhus",2147.38504109589,2748.60788844622
"96","102",2468.1138630137,2486.46624657534,2941.69011952191,2977.2822310757,"6461",GGLA07,Glattpark,4954.58010958904,5918.97235059761
"97","103",1121.24336986301,1008.65517808219,1365.87143426295,1229.37529880478,"6460",ZFER,"Zürich, Fernsehstudio",2129.8985479452,2595.24673306773
"98","104",973.531095890411,1240.52509589041,1110.02330677291,1409.72023904382,"132",ZAUZ,"Zürich, Auzelg",2214.05619178082,2519.74354581673
"99","105",1348.29523287671,1522.91498630137,1585.75474103586,1826.59055776892,"144",BADA,"Zürich, Bad Allenmoos",2871.21021917808,3412.34529880478
"100","106",2165.44323287671,2251.83378082192,2423.21832669323,2491.98984063745,"2017",RADI,"Zürich, Radiostudio",4417.27701369863,4915.20816733068
"101","107",13202.2802465753,14075.6114520548,15332.5782868526,16283.3667729084,"564",BUCH,"Zürich, Bucheggplatz",27277.8916986301,31615.945059761
"102","108",714.609945205479,876.017369863014,813.279880478088,984.481832669323,"1522",LAUI,"Zürich, Laubiweg",1590.62731506849,1797.76171314741
"103","109",8375.59584,8330.82577479452,9791.72175936255,9742.440987251,"2158",SPLA,"Zürich, Schaffhauserplatz",16706.4216147945,19534.1627466136
"104","110",2273.23284931507,2503.38964383562,2677.13637450199,2965.80597609562,"1468",KRON,"Zürich, Kronenstrasse",4776.62249315069,5642.94235059761
"105","111",1159.71649315068,1266.55421917808,1442.48342629482,1563.83278884462,"435",BECK,"Zürich, Beckenhof",2426.27071232876,3006.31621513944
"106","112",2237.17764383562,2221.19695890411,2777.35553784861,2741.99621513944,"2474",STAM,"Zürich, Stampfenbachplatz",4458.37460273973,5519.35175298805
"107","113",20644.6834246575,19378.2314246575,22605.3758964143,21083.6043426295,"413",BQUA,"Zürich, Bahnhofquai/HB",40022.914849315,43688.9802390438
"108","114",25217.7140273973,22459.2632876712,29163.9002390438,26597.3708366534,"416",BSTR,"Zürich, Bahnhofstrasse/HB",47676.9773150685,55761.2710756972
"109","115",12211.6009315068,11717.5262465753,14473.3216733068,14071.3692430279,"2054",RAUG,"Zürich, Rennweg",23929.1271780821,28544.6909163347
"110","116",22398.1486575342,24219.4282465753,26582.8228685259,28650.4903984064,"1861",PARA,"Zürich, Paradeplatz",46617.5769041095,55233.3132669323
"111","117",3402.0915890411,3373.3164109589,4058.02824701195,4148.94553784861,"601",BOES,"Zürich, Börsenstrasse",6775.408,8206.97378486056
"112","118",6973.94819178082,7317.23652054795,7707.56466135458,8052.56729083665,"615",BURK,"Zürich, Bürkliplatz",14291.1847123288,15760.1319521912
"113","119",16698.9391506849,15347.2272876712,19818.9075298805,18276.0876494024,"3039",BSTA,"Zürich, Bahnhof Stadelhofen",32046.1664383561,38094.9951792829
